Модест Андреевич Крылов;Луховицы;пр. Подстанция, д. 375 к. 5/6;DDS;Нейрохирург;8 405 739 7518;makarovanadezhda@mail.ru;1998-03-18;120454
Октябрина Семеновна Колобова;Далматово;наб. Полевая, д. 9 стр. 5;Сибирская горно-металлургическая компания;Шорник;+7 831 407 78 26;vinogradovkuzma@yahoo.com;1952-10-08;144864
Демьян Адрианович Одинцов;Иркутск;бул. Специалистов, д. 3/6 к. 344;Группа М.Видео-Эльдорадо;Лётчик;87054549801;naum1988@hotmail.com;1976-12-20;184015
Олимпиада Игоревна Нестерова;Темрюк;ул. Юности, д. 4/9;Объединенная авиастроительная корпорация;Моторист;8 (188) 286-9100;panovveniamin@yandex.ru;1955-06-30;141662
г-н Носов Сократ Васильевич;Каргополь;пер. Песочный, д. 9/4 к. 3;Дочки-Сыночки;Повар;+70281645446;selivan1972@yahoo.com;1990-05-05;72101
Федот Венедиктович Баранов;Апрелевка;бул. Таманский, д. 743;Группа Газфонд;Модель;8 (452) 665-7560;olga14@yandex.ru;1959-03-20;73948
Ольга Кузьминична Брагина;Усть-Калманка;алл. Кедровая, д. 6/1 к. 7;Ямал СПГ;Крупье;8 (221) 794-16-01;semenovaagafja@rambler.ru;1986-09-15;64530
Нонна Оскаровна Ковалева;Карачаевск;пр. Льва Толстого, д. 8/5 стр. 352;АК Алроса;Плиточник;8 667 705 7764;zoja2000@rambler.ru;1989-07-08;28278
Русакова Жанна Эдуардовна;Кулу;бул. Шолохова, д. 5/8;ТЭК Мосэнерго;Военнослужащий;8 (305) 806-9966;markovaleksandr@gmail.com;1970-08-25;28211
Герасимов Богдан Гордеевич;Кашира;ш. Сахалинское, д. 463;Ферронордик машины (Ferronordic);Эпидемиолог;8 167 112 93 36;emil_1989@hotmail.com;1998-02-08;70280
Шестакова Тамара Васильевна;Верхний Баскунчак;наб. Маркса, д. 295 стр. 672;ЛГ Электроникс Рус (LG);Оториноларинголог;+7 (173) 206-1602;jzimin@gmail.com;2002-02-01;150162
Самойлова Антонина Олеговна;Усть-Кут;пер. Нефтяников, д. 46 стр. 45;НЗНП;Криптозоолог;+7 (163) 947-71-37;lilina@mail.ru;1954-09-22;42425
Маргарита Кузьминична Зимина;Кяхта;алл. Крымская, д. 7/3 к. 216;Таграс (ТНГ-Групп);Табаковод;+7 669 449 4843;ereme_1995@gmail.com;1978-02-05;109130
Вячеслав Иосифович Мухин;Обоянь;ул. 30 лет Победы, д. 794;ПКФ ДиПОС;Токсиколог;+7 730 269 42 44;kopilovorest@mail.ru;1958-12-30;54583
Ковалев Кондратий Феоктистович;Благовещенск (Амур.);бул. Олега Кошевого, д. 9 к. 2;ГК Великан;Геодезист;+7 (600) 787-17-94;eliseevizmail@mail.ru;1980-08-23;126029
Галкин Яков Ефремович;Миасс;ул. Гастелло, д. 571 стр. 87;Нестле Россия (Nestle);Мелиоратор;+7 (811) 867-89-64;savvati23@gmail.com;1970-02-22;149364
Марина Георгиевна Прохорова;Чегем;алл. Ульянова, д. 1/9;Фармперспектива;Воспитатель;81446299249;haritonovtaras@yandex.ru;1968-05-10;154648
Абрамова Марина Филипповна;Кириши;пр. Просвещения, д. 1;«Томскнефть» ВНК;Массажист;+7 833 347 94 45;evgenija_58@mail.ru;1991-07-15;117217
Абрамов Николай Фокич;Ростов;бул. Осенний, д. 60 стр. 220;Нестле Россия (Nestle);Промышленный альпинист;+7 898 546 20 40;stojan_89@yandex.ru;1964-11-08;115099
Анжела Юльевна Ермакова;Нижнеудинск;ул. Спартака, д. 75;А-Ойл;Океанолог;8 (340) 356-0985;efim2002@gmail.com;1956-03-09;31668
Исакова Оксана Захаровна;Ардон;ш. Базарное, д. 50 к. 5;Группа ЛСР;Донкерман;+7 (365) 090-48-60;danisimov@rambler.ru;2000-01-09;104493
Всеволод Ааронович Дьячков;Ростов-на-Дону;бул. Волкова, д. 376;ИКЕА Дом (INGKA);Инженер по механизации;+7 (393) 195-86-16;anastasija_61@yandex.ru;1972-12-15;65179
Ангелина Максимовна Иванова;Мичуринск;ш. Базарное, д. 4;Приосколье;Режиссёр;+7 943 435 49 75;nikola1970@mail.ru;1971-04-20;112507
Карп Ефремович Кабанов;Ессентуки;ш. Спортивное, д. 7 к. 74;Гугл (Google);Врач функциональной диагностики;8 (839) 722-1471;matveevseev@rambler.ru;1992-10-23;23985
Феврония Натановна Савельева;Краснокамск;ш. Рязанское, д. 1 стр. 2;Сибур Холдинг;Шорник;+7 848 607 4675;shestakovkim@gmail.com;1997-05-25;29784
Нина Анатольевна Королева;Нефтеюганск;ул. Рябиновая, д. 4 к. 3/7;Сибирская сервисная компания;Мастер педикюра;8 574 786 0997;bespalovfoka@gmail.com;1964-01-28;43412
Симонов Милан Геннадиевич;Ханты-Мансийск;наб. Крымская, д. 545 стр. 4/4;Уралвтормет;Проводник;+70341346800;fomichevavasilisa@mail.ru;2003-04-20;69357
Рогов Денис Фролович;Осташков;пр. Кирова, д. 134;ТЭК СПБ;Миколог;8 154 751 6320;sidorovanisim@hotmail.com;1956-02-19;32124
Михайлов Фока Валерианович;Сибай;пр. 50 лет Октября, д. 458 стр. 1;Компания Адамас;Авиадиспетчер;81818434821;alla56@yahoo.com;1953-11-30;159563
Ульяна Феликсовна Захарова;Агинское (Забайк.);наб. Энергетическая, д. 59 стр. 51;ПК Балтика (Carlsbergfondet);Специалист по стрижке овец;8 732 855 6147;kostinavera@rambler.ru;1971-10-08;118212
Терентьев Дорофей Эдгардович;Прохладный;ул. Киевская, д. 67 стр. 65;БАСФ (BASF);Диджей;+7 (598) 800-81-53;simonovaanna@rambler.ru;1963-11-30;144065
Якуб Всеволодович Большаков;Вуктыл;пр. Пугачева, д. 1 стр. 49;QIWI;Редактор;83665972205;parfen24@yahoo.com;1953-12-01;195151
Ульяна Андреевна Лобанова;Гатчина;ул. Сиреневая, д. 71;СБСВ-Ключавто;Инженер-гидравлик;8 514 100 85 56;feoktist_92@yandex.ru;1977-08-31;107996
Куликов Артем Фадеевич;Чехов;бул. Дорожников, д. 47 к. 1;Кузбасская топливная компания;Автогонщик;+7 (794) 565-8092;sevastjan_1971@rambler.ru;1965-04-05;75089
Фокин Савелий Евсеевич;Подольск;наб. Пролетарская, д. 34 стр. 9;ММК;Морской пехотинец;8 621 248 9936;askold33@rambler.ru;1953-07-06;197255
Наталья Львовна Комарова;Видное;бул. Добролюбова, д. 6;Softline;Бортмеханик;8 (066) 942-0406;iraida1999@yandex.ru;1964-02-09;152999
Дементий Герасимович Зуев;Качканар;пер. 9 Января, д. 1;ГК Российские коммунальные системы;Диктор;+7 (343) 995-0858;bantonova@yandex.ru;1990-04-14;156835
Степан Егорович Нестеров;Калуга;пер. Крупской, д. 5 к. 8;Мобильные телесистемы;Рентгенолог;8 (965) 427-3198;nikandrnikitin@yahoo.com;1984-12-23;20841
Лапин Творимир Антонович;Кудымкар;наб. Васильковая, д. 65 к. 547;Гугл (Google);Военнослужащий;+71199495481;visheslav16@rambler.ru;1986-10-19;22135
Гуляев Валентин Анисимович;Верхнее Пенжино;ул. Смоленская, д. 87 стр. 12;Запсибгазпром;Горничная;8 (784) 394-4282;sbogdanov@mail.ru;1959-01-06;69834
Синклитикия Михайловна Горшкова;Витим;алл. Дальняя, д. 2;Группа Черкизово;Официант;8 212 496 8432;evse_2007@mail.ru;1967-02-06;122793
Доронина Наталья Геннадиевна;Сальск;бул. Транспортный, д. 12 стр. 1/2;Белуга Групп;Политолог;+78844975080;golubevalidija@gmail.com;1969-04-05;133020
Людмила Валентиновна Беляева;Эльбрус;пр. Снежный, д. 9/3 стр. 3/4;Группа ГАЗ;Физиотерапевт;82160887753;gorbunovfeliks@yandex.ru;2004-01-23;109076
Маслов Семен Артурович;Истра;ул. Заозерная, д. 30 стр. 8/7;Таркетт Рус (Tarkett);Контент-менеджер;+76726700574;krasilnikovgorde@yandex.ru;1998-06-02;115035
Комиссарова Вероника Михайловна;Королев;наб. Ростовская, д. 69 стр. 30;КМР и СНГ (KIA);Искусствовед;8 (222) 352-24-14;dorofe_2019@gmail.com;1971-02-17;53395
Фролов Дементий Ефстафьевич;Рыльск;пер. Привокзальный, д. 157 стр. 3/1;Группа Рольф;Дизайнер-конструктор;+7 (781) 721-4851;kabanovpantelemon@hotmail.com;1967-11-01;113162
Александров Артем Владиславович;Дубна;ш. Флотское, д. 9 к. 316;Монди СЛПК (Mondi);Маркетолог;+78335687683;fedotovatamara@yandex.ru;1967-01-22;41784
Владимир Григорьевич Горшков;Новороссийск;пр. Технический, д. 5/3;Пермэнергосбыт;Скульптор;8 (088) 199-8934;savelevsamson@mail.ru;1959-01-21;151248
Гедеон Филиппович Шубин;Москва, МГУ;пр. Фадеева, д. 57 стр. 5/1;Группа РТК;Педагог;8 304 477 39 46;danila_18@gmail.com;1996-12-31;52026
Лаврентьева Жанна Кирилловна;Углич;пр. Смоленский, д. 769 к. 999;ОМПК;Генетик;8 874 944 27 84;marklavrentev@yandex.ru;1986-04-21;64536
Марфа Наумовна Субботина;Камышин;бул. Жданова, д. 45;DDS;Военно-полевой хирург;+79397608296;igor_2013@mail.ru;1993-06-11;81598
Ратмир Устинович Горшков;Оренбург;ш. Астраханское, д. 71 к. 5;Дикси Групп;Садовод;8 394 854 38 45;anastasija08@rambler.ru;1965-10-02;141941
Колобова Зоя Ивановна;Долинск;пр. Войкова, д. 9 стр. 74;ОМК;Машинист локомотива;8 (152) 225-9106;konstantingordeev@gmail.com;1981-12-30;78485
Авдей Елисеевич Рябов;Котельнич;бул. Циолковского, д. 7/4 к. 3/6;СДС-Уголь;Корректор;8 (905) 528-05-27;xkudrjavtseva@gmail.com;1965-06-15;123787
Воробьев Демид Матвеевич;Ноябрьск;алл. Отрадная, д. 9/7;Верисел-трейдинг;Дипломатический работник;8 428 920 8045;mihalovivan@hotmail.com;1980-12-07;157990
Емельян Феликсович Лапин;Салават;ул. Маяковского, д. 5/5;Группа М.Видео-Эльдорадо;Телохранитель;+7 773 259 8319;zikovaeleonora@hotmail.com;1984-12-13;117287
Евграф Фомич Киселев;Тырныауз;пр. Геологов, д. 4/9 стр. 823;Конар;Животновод;+79852565924;vissarionmedvedev@mail.ru;1963-08-11;104668
Некрасов Лука Теймуразович;Дмитров;пер. 70 лет Октября, д. 21 к. 6/5;ТД Интерторг;Сексопатолог;8 (438) 797-6388;rodionovsavva@hotmail.com;1982-08-03;131429
Пономарева Нинель Максимовна;Советский;наб. Иркутская, д. 552;Фармимэкс;Фельдшер;87537801470;prokofi_2002@rambler.ru;1988-09-03;118611
Анжела Андреевна Колесникова;Псебай;ул. Володарского, д. 486;Астеллас Фарма;Лётчик;8 (584) 712-45-13;samsonovanadezhda@yandex.ru;1997-12-01;128212
Овчинникова Татьяна Евгеньевна;Коломна;ул. Надежды, д. 41 к. 83;Интернешнл Пейпер (International Paper);Правовед;8 (626) 415-92-45;konovalovanatalja@yahoo.com;1988-03-22;138856
Копылова Елизавета Игоревна;Шатура;наб. Вольная, д. 4 стр. 498;Группа Магнезит;Штурман;8 380 016 53 11;kovalevamarina@yandex.ru;1970-03-14;179406
Чеслав Евсеевич Матвеев;Ноябрьск;бул. Рыбацкий, д. 6 стр. 11;РЕ Трэйдинг (LPP);Печатник;+7 237 799 6670;prokofi1990@yahoo.com;1981-10-09;156674
Лыткин Фотий Всеволодович;Ряжск;пр. Курчатова, д. 6 к. 9/1;Ашинский металлургический завод;Бармен;8 (438) 692-24-58;kondrati_22@yahoo.com;1977-11-05;139568
Осипов Данила Жоресович;Пушкино (Моск.);наб. Производственная, д. 653;Московская инженерно-строительная компания;Флорист;8 563 414 38 18;ostromir58@rambler.ru;1995-07-27;122250
